invoice_id,supplier_id,buyer_id,lender_id,GSTIN,amount,date,PO_id,GRN_id,fraud_flag,gst_amount,po_number,grn_number,invoice_hash,duplicate_flag,fingerprint,near_duplicate,supplier_invoice_count,supplier_avg_amount,amount_deviation,lender_count,po_grn_match,po_missing,grn_missing,expected_gst,gst_deviation,gst_mismatch_flag,in_circular_cycle,graph_centrality,cascade_exposure_size,high_amount_flag,high_frequency_flag,supplier_id_enc,buyer_id_enc,lender_id_enc,anomaly_score,ml_fraud_flag,risk_score,final_flag,reason
INV14,SUP4,BUY67,LEN13,37WHCAI4632DNZM,49727,2024-10-16,PO137,GRN309,0,0.0,,,828ec87fcf27e5325ed888f3a8c4245fccc3252a20e21192b4a9de76cc591c84,0,37WHCAI4632DNZM 49727 2024-10-16 SUP4,0,55,61417.34545454545,11690.345454545452,2,0,1,1,8950.859999999999,0.999888291371849,1,0,0.11246200607902736,330,0,0,134,64,4,1,0,17,0,"GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV15,SUP135,BUY44,LEN7,15EQIUI4081IAZU,67116,2024-07-19,PO378,GRN461,1,0.0,,,ce952db7c5f66e5b97049bb5e7e72b3933f7a8070b741cbccd2277288b6162ce,0,15EQIUI4081IAZU 67116 2024-07-19 SUP135,0,58,76131.75862068965,9015.758620689652,3,0,1,1,12080.88,0.9999172314242486,1,0,0.12462006079027356,330,0,0,40,39,27,1,0,17,0,"GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV16,SUP71,BUY92,LEN16,16JWFWT2340UDZN,38155,2024-06-08,PO118,GRN457,0,0.0,,,5dc77d5d44aeab61df06542db260f80a1dbb3fe7da6a371f97d03f396423c438,0,16JWFWT2340UDZN 38155 2024-06-08 SUP71,0,42,65198.02380952381,27043.02380952381,2,0,1,1,6867.9,0.999854416282083,1,0,0.10638297872340426,330,0,0,169,92,7,1,0,17,0,"GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV17,SUP104,BUY97,LEN19,30VWMGR9530EQZK,56919,2024-01-10,PO449,GRN154,0,0.0,,,9bc1197f084cea1a22f995ce8e50a607c5c089b85176c3a40e66e5c98f04a3c3,0,30VWMGR9530EQZK 56919 2024-01-10 SUP104,0,49,58356.28571428572,1437.2857142857174,1,0,1,1,10245.42,0.9999024049375294,1,0,0.12158054711246201,330,0,0,6,97,10,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV18,SUP43,BUY64,LEN14,28GNRWT4106PVZQ,70690,2024-12-18,PO419,GRN81,0,0.0,,,060a6130c5aa17bf5dad99d4bc86272fd883ec4b293dee3dfc27de4a93bd4d14,0,28GNRWT4106PVZQ 70690 2024-12-18 SUP43,0,49,86628.73469387754,15938.734693877544,3,0,1,1,12724.199999999999,0.999921415773426,1,0,0.12158054711246201,330,0,0,138,61,5,1,0,17,0,"GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV19,SUP66,BUY33,LEN10,12IGNCQ4377FXZR,46484,2024-12-03,PO111,GRN115,0,0.0,,,de8e7eb1fc1dd5e4b097521660129d407fceaf1b1cccdd0d6980d6e88554f7c8,0,12IGNCQ4377FXZR 46484 2024-12-03 SUP66,0,47,65761.63829787234,19277.63829787234,3,0,1,1,8367.119999999999,0.9998804988456188,1,0,0.11550151975683891,330,0,0,163,27,1,1,0,17,0,"GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV20,SUP63,BUY8,LEN17,22POBRM5540NKZO,299075,2024-12-15,PO293,GRN242,1,0.0,,,487815bef107442dbc7cacc06ba21242845e3d06e4941d58cc18ff980d3acf96,0,22POBRM5540NKZO 299075 2024-12-15 SUP63,0,57,70546.78947368421,228528.2105263158,3,0,1,1,53833.5,0.9999814245511707,1,0,0.13677811550151975,330,1,0,160,78,8,-1,1,37,1,"ML Anomaly, GST Mismatch, Multi-Lender, High Amount, PO Missing, GRN Missing"
INV21,SUP145,BUY86,LEN19,27GFBZM0822QXZX,499392,2024-03-04,PO274,GRN199,1,0.0,,,bc96224c6b07b558d8d232a4b13fb46b2a84546fd0fc87e97a3407bc9c5d6b6f,0,27GFBZM0822QXZX 499392 2024-03-04 SUP145,0,46,66750.10869565218,432641.89130434784,1,0,1,1,89890.56,0.9999888754850845,1,0,0.11246200607902736,330,1,0,51,85,10,-1,1,32,1,"ML Anomaly, GST Mismatch, High Amount, PO Missing, GRN Missing"
INV22,SUP187,BUY92,LEN1,11XVDFL8067ZAZU,6898,2024-12-23,PO41,GRN465,0,0.0,,,11a5bd4878e943461c8a15846ffffc97a4f1c7c0a34d0bb383edcca2ec5e84bd,0,11XVDFL8067ZAZU 6898 2024-12-23 SUP187,0,49,68179.3469387755,61281.3469387755,1,0,1,1,1241.6399999999999,0.9991952617008949,1,0,0.12462006079027356,330,0,0,97,92,0,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV23,SUP108,BUY72,LEN20,15TJQOY9279TYZB,214771,2024-07-27,PO60,GRN64,1,0.0,,,434094a6057294f6e261fdee74d78f6e3071ae81c85ca91bdd4cd1aa6597d2e4,0,15TJQOY9279TYZB 214771 2024-07-27 SUP108,0,52,77605.96153846153,137165.03846153847,3,0,1,1,38658.78,0.9999741333240904,1,0,0.11854103343465046,330,1,0,10,70,12,-1,1,37,1,"ML Anomaly, GST Mismatch, Multi-Lender, High Amount, PO Missing, GRN Missing"
INV24,SUP38,BUY12,LEN7,08YHREV8170DLZO,47686,2024-07-15,PO398,GRN480,0,0.0,,,c709e59f29135a64fe6ef743da76815ac9dabea95693bf3383f13602bca29ab7,0,08YHREV8170DLZO 47686 2024-07-15 SUP38,0,58,59930.206896551725,12244.206896551725,1,0,1,1,8583.48,0.9998835107076958,1,0,0.1398176291793313,330,0,0,132,4,27,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV25,SUP22,BUY74,LEN10,15DHDEQ7114QSZV,20118,2024-09-17,PO177,GRN223,0,0.0,,,7ba56db295b8cfb71a061811a9986d7f033aef9e24a19d9e98c9857d29f45ee9,0,15DHDEQ7114QSZV 20118 2024-09-17 SUP22,0,53,88062.71698113208,67944.71698113208,2,0,1,1,3621.24,0.999723927735324,1,0,0.11854103343465046,330,0,0,115,72,1,1,0,17,0,"GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV26,SUP75,BUY15,LEN17,31SJIDV6518ERZP,99214,2024-05-03,PO392,GRN201,0,0.0,,,d4e0ac588d3c9c0d1668a5c8378e36e47a6c1e9e0d011554fb6095e233d1caa4,0,31SJIDV6518ERZP 99214 2024-05-03 SUP75,0,62,72481.51612903226,26732.483870967742,2,0,1,1,17858.52,0.9999440074537278,1,0,0.11550151975683891,330,1,1,173,7,8,1,0,25,1,"GST Mismatch, Multi-Lender, High Amount, High Activity, PO Missing, GRN Missing"
INV27,SUP186,BUY31,LEN8,12IGNCQ4377FXZR,71743,2024-12-20,PO382,GRN200,1,0.0,,,166aaba978d9d14401bedf3bd49ebf999e811f738932ff4445c57cbac7a303cb,0,12IGNCQ4377FXZR 71743 2024-12-20 SUP186,0,52,65471.192307692305,6271.807692307695,3,0,1,1,12913.74,0.9999225690954676,1,0,0.11246200607902736,330,0,0,96,25,28,1,0,17,0,"GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV28,SUP92,BUY80,LEN5,04XDTAN3004KJZF,3637,2024-05-23,PO202,GRN243,0,0.0,,,1a0c814d10982d8289e6cd61b84befb11a36b305540d5fc583162d4dc3c2e1bf,0,04XDTAN3004KJZF 3637 2024-05-23 SUP92,0,50,61500.72,57863.72,1,0,1,1,654.66,0.9984748192660831,1,0,0.13677811550151975,330,0,0,192,79,25,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV29,SUP122,BUY34,LEN21,01RVXRI7893EOZT,57991,2024-05-26,PO39,GRN390,1,0.0,,,b5c81b78c630848a844331b907d3a8cbf184504a9d618039a20a037641e68c1a,0,01RVXRI7893EOZT 57991 2024-05-26 SUP122,0,60,73510.6,15519.600000000006,2,0,1,1,10438.38,0.9999042088706418,1,0,0.1337386018237082,330,0,1,26,28,13,1,0,20,1,"GST Mismatch, Multi-Lender, High Activity, PO Missing, GRN Missing"
INV30,SUP107,BUY60,LEN18,05XYVXL4097JQZK,16312,2024-11-03,PO99,GRN286,0,0.0,,,56181b50cb038a9e314d4c650a83f0a16807dd9e199d6fb1924b2d847a62c20f,0,05XYVXL4097JQZK 16312 2024-11-03 SUP107,0,44,53572.27272727273,37260.27272727273,1,0,1,1,2936.16,0.9996595350610794,1,0,0.10638297872340426,330,0,0,9,57,9,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV31,SUP9,BUY94,LEN15,16COYQE7946VCZQ,70430,2024-02-03,PO4,GRN140,0,0.0,,,92c3fe491f7e7bb4ed9681e40287ccdac2e4d001c1b99c38e93a0d566bb0cc0e,0,16COYQE7946VCZQ 70430 2024-02-03 SUP9,0,55,74925.58181818182,4495.581818181818,4,0,1,1,12677.4,0.9999211256940939,1,0,0.1337386018237082,330,0,0,189,94,6,-1,1,32,1,"ML Anomaly, GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV32,SUP31,BUY91,LEN6,34JFCOZ6231RZZJ,34555,2024-12-15,PO207,GRN219,0,0.0,,,573c188c96b5b92e432ef146656aaa387864b31949cbfeffe18d3bb2dddbe05d,0,34JFCOZ6231RZZJ 34555 2024-12-15 SUP31,0,50,60289.8,25734.800000000003,2,0,1,1,6219.9,0.9998392515552412,1,0,0.10638297872340426,330,0,0,125,91,26,1,0,17,0,"GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV33,SUP175,BUY79,LEN17,27ZKMRT8015QTZL,44724,2024-04-14,PO483,GRN218,0,0.0,,,eeff41da101d7102c5019ef020bae2c801b466d7668e700d9e61d7653bc47545,0,27ZKMRT8015QTZL 44724 2024-04-14 SUP175,0,44,65413.27272727273,20689.272727272728,2,0,1,1,8050.32,0.9998757967637605,1,0,0.12158054711246201,330,0,0,84,77,8,1,0,17,0,"GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV34,SUP4,BUY7,LEN16,27YEVAU3052XIZZ,86622,2024-02-11,PO324,GRN155,0,0.0,,,7d3e06850829acc5eab82379202e4b9aa451fe063dc55e3ac5390059781004d6,0,27YEVAU3052XIZZ 86622 2024-02-11 SUP4,0,55,61417.34545454545,25204.65454545455,1,0,1,1,15591.96,0.9999358684945001,1,0,0.11246200607902736,330,0,0,134,67,7,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV35,SUP51,BUY100,LEN7,14KKDOK5166NLZC,38030,2024-05-17,PO256,GRN128,0,0.0,,,4277e139787e3c8d8b77bcb942a2b91623faf795f989df9cc2d9224a0fc4d04f,0,14KKDOK5166NLZC 38030 2024-05-17 SUP51,0,48,53237.416666666664,15207.416666666664,3,0,1,1,6845.4,0.999853937835943,1,0,0.11246200607902736,330,0,0,147,2,27,1,0,17,0,"GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV36,SUP90,BUY69,LEN27,16ULHJJ7333JDZD,4814,2024-05-13,PO399,GRN308,1,0.0,,,d439693e1c73885aa0e42444b21dbf4f1612fe7a7fcf29fda4a23173d9e31bcd,0,16ULHJJ7333JDZD 4814 2024-05-13 SUP90,0,43,51673.74418604651,46859.74418604651,2,0,1,1,866.52,0.9988472888233124,1,0,0.11550151975683891,330,0,0,190,66,19,-1,1,32,1,"ML Anomaly, GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV37,SUP122,BUY40,LEN7,11DJFAI9699WRZB,31957,2024-02-27,PO198,GRN349,0,0.0,,,4ec54fd667fdfdae6a534777b55d33a6d30ec25be08597c3ece0deb12ceb0a49,0,11DJFAI9699WRZB 31957 2024-02-27 SUP122,0,60,73510.6,41553.600000000006,1,0,1,1,5752.26,0.999826185501785,1,0,0.1337386018237082,330,0,1,26,35,27,1,0,15,0,"GST Mismatch, High Activity, PO Missing, GRN Missing"
INV38,SUP68,BUY69,LEN1,05YOPVF0044BSZO,46875,2024-07-10,PO31,GRN210,0,0.0,,,67f1ac678679ff1517319b876b2dd52cce17866fbcaf7618dacaf5245f4c1fd4,0,05YOPVF0044BSZO 46875 2024-07-10 SUP68,0,47,59220.255319148935,12345.255319148935,1,0,1,1,8437.5,0.9998814955264561,1,0,0.12158054711246201,330,0,0,165,66,0,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV39,SUP91,BUY89,LEN16,23CSPYT2479YXZO,23106,2024-09-27,PO292,GRN62,0,0.0,,,37b33a71c7a8b32c929f02b9ad6a6413b5bdae8082b76c27060cbe7cdaf0f828,0,23CSPYT2479YXZO 23106 2024-09-27 SUP91,0,48,54613.6875,31507.6875,2,0,1,1,4159.08,0.9997596200073076,1,0,0.11246200607902736,330,0,0,191,88,7,1,0,17,0,"GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV40,SUP102,BUY12,LEN9,22KHWDZ6292VPZW,56204,2024-02-08,PO297,GRN481,0,0.0,,,2ad2851271d3bed35658199c0418a8c060ef93b60c23f6196d5f7e71acbd720f,0,22KHWDZ6292VPZW 56204 2024-02-08 SUP102,0,50,72998.38,16794.380000000005,3,0,1,1,10116.72,0.9999011635032399,1,0,0.12158054711246201,330,0,0,4,4,29,1,0,17,0,"GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV41,SUP87,BUY79,LEN10,21NNIZL2196WHZK,87905,2024-11-02,PO28,GRN202,0,0.0,,,d31472c2294f1c826be192f2e6f6538f6f3fae54478d564c967d4b4105bd6cc0,0,21NNIZL2196WHZK 87905 2024-11-02 SUP87,0,55,67875.5090909091,20029.490909090906,1,0,1,1,15822.9,0.9999368044540221,1,0,0.13677811550151975,330,0,0,186,77,1,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV42,SUP24,BUY14,LEN9,31DPKGM3141USZZ,71718,2024-09-12,PO234,GRN374,1,0.0,,,57270d6d125e23d5737526b5ce88737fd8b7ce9372ebe65f5c17c53922999564,0,31DPKGM3141USZZ 71718 2024-09-12 SUP24,0,47,60484.617021276594,11233.382978723406,5,0,1,1,12909.24,0.9999225421061111,1,0,0.11246200607902736,330,0,0,117,6,29,-1,1,32,1,"ML Anomaly, GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV43,SUP79,BUY74,LEN12,15TJQOY9279TYZB,59150,2024-10-26,PO278,GRN319,1,0.0,,,086b9b13ff92e4b46ffd9082591f6d790e6111211001a59ee8ae606541254cf6,0,15TJQOY9279TYZB 59150 2024-10-26 SUP79,0,61,72711.73770491804,13561.737704918036,3,0,1,1,10647.0,0.9999060856498873,1,0,0.14893617021276595,330,0,1,177,72,3,-1,1,35,1,"ML Anomaly, GST Mismatch, Multi-Lender, High Activity, PO Missing, GRN Missing"
INV44,SUP163,BUY84,LEN6,06KVJIP8683RLZT,86821,2024-10-13,PO474,GRN7,0,0.0,,,13442073b6affd0f3311561492f5896be5a32903c954cb175691de0d5c386352,0,06KVJIP8683RLZT 86821 2024-10-13 SUP163,0,45,55849.75555555556,30971.24444444444,1,0,1,1,15627.779999999999,0.9999360154791352,1,0,0.1094224924012158,330,0,0,71,83,26,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV45,SUP37,BUY6,LEN17,30ORVBC8665QJZD,59296,2024-01-23,PO448,GRN374,0,0.0,,,9e164308e970def0f94901dd6d350a40b4c4a1a37aff99082c4b578453a8f728,0,30ORVBC8665QJZD 59296 2024-01-23 SUP37,0,48,60958.666666666664,1662.6666666666642,1,0,1,1,10673.279999999999,0.9999063168663367,1,0,0.11854103343465046,330,0,0,131,56,8,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV46,SUP177,BUY89,LEN16,01HOOJU5957LKZK,2972,2024-05-07,PO433,GRN316,0,0.0,,,857f3729b379774555c8679cd3d749dcfb8c9ef35fb3e1e532d31d910ddc4458,0,01HOOJU5957LKZK 2972 2024-05-07 SUP177,0,53,63515.018867924526,60543.018867924526,1,0,1,1,534.96,0.998134189118591,1,0,0.11550151975683891,330,0,0,86,88,7,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV47,SUP166,BUY82,LEN2,06NRSGS8057GFZM,69450,2024-05-25,PO336,GRN459,0,0.0,,,3516e639e3437dd68fd0de97b9cbd549e61536c54766463cf1cf2a56df53d4ea,0,06NRSGS8057GFZM 69450 2024-05-25 SUP166,0,52,85300.38461538461,15850.38461538461,1,0,1,1,12501.0,0.9999200127979523,1,0,0.1276595744680851,330,0,0,74,81,11,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV48,SUP165,BUY22,LEN9,31KGUHM5969FVZB,70110,2024-09-08,PO319,GRN268,1,0.0,,,6bd2633d4d569debdd4356e67044476356d660d66a3488a1e70d61ca14dad786,0,31KGUHM5969FVZB 70110 2024-09-08 SUP165,0,51,54992.27450980392,15117.725490196077,2,0,1,1,12619.8,0.9999207657200812,1,0,0.11550151975683891,330,0,0,73,15,29,1,0,17,0,"GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV49,SUP81,BUY91,LEN2,18FBMPD5015IPZS,1843,2024-12-13,PO399,GRN153,0,0.0,,,53b937c8addfeb8c836e99dbe774dc49ed00d013df35055b90f06fdb91a8dc35,0,18FBMPD5015IPZS 1843 2024-12-13 SUP81,0,59,56743.84745762712,54900.84745762712,1,0,1,1,331.74,0.9969946504778505,1,0,0.1458966565349544,330,0,0,180,91,11,-1,1,27,1,"ML Anomaly, GST Mismatch, PO Missing, GRN Missing"
INV50,SUP188,BUY90,LEN4,24JQJLL9625VJZS,33028,2024-01-16,PO181,GRN52,0,0.0,,,a8ebb4500e0b8232d20e5562a1b4894690f1c744323b86100fb9d8408d8c1089,0,24JQJLL9625VJZS 33028 2024-01-16 SUP188,0,46,44329.82608695652,11301.82608695652,1,0,1,1,5945.04,0.9998318208421066,1,0,0.1094224924012158,330,0,0,98,90,24,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV51,SUP133,BUY90,LEN8,10GQTZU2118KZZV,5272,2024-09-26,PO264,GRN53,0,0.0,,,272c2682692c74445e8fae50cd528813b71e5f6c37af721311e9b343df6401e2,0,10GQTZU2118KZZV 5272 2024-09-26 SUP133,0,46,70631.82608695653,65359.82608695653,1,0,1,1,948.9599999999999,0.9989473240978568,1,0,0.11246200607902736,330,0,0,38,90,28,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV52,SUP35,BUY60,LEN4,01VCNBC8999ZIZV,14166,2024-03-27,PO431,GRN108,0,0.0,,,f1f14b3f525e4abd2f0569afa9cb1204eb459571f0b1d278fa45bd443b6f2745,0,01VCNBC8999ZIZV 14166 2024-03-27 SUP35,0,56,51372.607142857145,37206.607142857145,1,0,1,1,2549.88,0.9996079784231324,1,0,0.14285714285714285,330,0,0,129,57,24,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV53,SUP158,BUY3,LEN3,27YEWVQ3386SMZS,65517,2024-07-07,PO490,GRN150,0,0.0,,,b695384360d691475a76875618b5e36475495d6855f0c3f2e126f2a3b4b5da6b,0,27YEWVQ3386SMZS 65517 2024-07-07 SUP158,0,58,67030.4827586207,1513.4827586206957,1,0,1,1,11793.06,0.9999152115556476,1,0,0.13069908814589665,330,0,0,65,23,22,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV54,SUP126,BUY53,LEN19,26NXNTS7294QQZI,79637,2024-01-15,PO13,GRN38,0,0.0,,,3a64ea39f679bbfe9dcfe797fb1927b6ba5d277a888fc7054a59cf651129ebaa,0,26NXNTS7294QQZI 79637 2024-01-15 SUP126,0,40,44556.375,35080.625,2,0,1,1,14334.66,0.9999302438813421,1,0,0.1033434650455927,330,0,0,30,49,10,1,0,17,0,"GST Mismatch, Multi-Lender, PO Missing, GRN Missing"
INV55,SUP58,BUY51,LEN6,31BXOOO4137LKZV,56790,2024-04-03,PO64,GRN425,0,0.0,,,d36ca50606523d52ac7bde16b23580d122b39aa6aad18bbe0a5edc51e3a0ca32,0,31BXOOO4137LKZV 56790 2024-04-03 SUP58,0,58,62319.25862068965,5529.258620689652,1,0,1,1,10222.199999999999,0.9999021832694264,1,0,0.13677811550151975,330,0,0,154,47,26,1,0,12,0,"GST Mismatch, PO Missing, GRN Missing"
INV56,SUP49,BUY78,LEN10,34NZUAF6840SMZW,65043,2024-08-27,PO469,GRN311,0,0.0,,,919ebfc0f4aef6e08cae4dd8d23ace992ba5aa1eb525bdebd7c2f6502440f2a7,0,34NZUAF6840SMZW 65043 2024-08-27 SUP49,0,60,57876.5,7166.5,3,0,1,1,11707.74,0.9999145937137557,1,0,0.13069908814589665,330,0,1,144,76,1,1,0,20,1,"GST Mismatch, Multi-Lender, High Activity, PO Missing, GRN Missing"
