invoice_id,supplier_id,buyer_id,lender_id,GSTIN,amount,date,PO_id,GRN_id,fraud_flag
INV43,SUP79,BUY74,LEN12,15TJQOY9279TYZB,59150,26-10-2024,PO278,GRN319,1
INV44,SUP163,BUY84,LEN6,06KVJIP8683RLZT,86821,13-10-2024,PO474,GRN7,0
INV45,SUP37,BUY6,LEN17,30ORVBC8665QJZD,59296,23-01-2024,PO448,GRN374,0
INV46,SUP177,BUY89,LEN16,01HOOJU5957LKZK,2972,07-05-2024,PO433,GRN316,0
INV47,SUP166,BUY82,LEN2,06NRSGS8057GFZM,69450,25-05-2024,PO336,GRN459,0
INV48,SUP165,BUY22,LEN9,31KGUHM5969FVZB,70110,08-09-2024,PO319,GRN268,1
INV49,SUP81,BUY91,LEN2,18FBMPD5015IPZS,1843,13-12-2024,PO399,GRN153,0
INV50,SUP188,BUY90,LEN4,24JQJLL9625VJZS,33028,16-01-2024,PO181,GRN52,0
INV51,SUP133,BUY90,LEN8,10GQTZU2118KZZV,5272,26-09-2024,PO264,GRN53,0
INV52,SUP35,BUY60,LEN4,01VCNBC8999ZIZV,14166,27-03-2024,PO431,GRN108,0
INV53,SUP158,BUY3,LEN3,27YEWVQ3386SMZS,65517,07-07-2024,PO490,GRN150,0
INV54,SUP126,BUY53,LEN19,26NXNTS7294QQZI,79637,15-01-2024,PO13,GRN38,0
INV55,SUP58,BUY51,LEN6,31BXOOO4137LKZV,56790,03-04-2024,PO64,GRN425,0
INV56,SUP49,BUY78,LEN10,34NZUAF6840SMZW,65043,27-08-2024,PO469,GRN311,0
INV57,SUP61,BUY38,LEN16,14PFWXS8741VNZP,33644,04-07-2024,PO287,GRN222,0
INV58,SUP113,BUY67,LEN14,28VUKYM0671ZOZN,65611,20-01-2024,PO315,GRN400,0
INV59,SUP148,BUY55,LEN10,03UAZPG5474UCZI,88100,12-08-2024,PO226,GRN106,0
INV60,SUP97,BUY50,LEN8,01IAHJO2757VKZW,75876,19-11-2024,PO135,GRN222,0
INV61,SUP62,BUY42,LEN16,33TENYM2004RIZM,89284,07-03-2024,PO94,GRN495,0
INV62,SUP179,BUY58,LEN8,03HWYNZ1959BIZL,93892,19-11-2024,PO301,GRN111,0
INV63,SUP159,BUY3,LEN26,13MMMSN1596VGZQ,36463,15-07-2024,PO482,GRN203,1
INV64,SUP84,BUY13,LEN12,34SYFPX5777MMZG,11695,24-05-2024,PO406,GRN480,0
INV65,SUP48,BUY25,LEN9,13LYSEO9803CXZT,50724,11-09-2024,PO415,GRN422,0
INV66,SUP112,BUY73,LEN9,28GNRWT4106PVZQ,54792,05-01-2024,PO166,GRN444,1
INV67,SUP143,BUY95,LEN2,10BYDAB2965PZZM,58946,16-01-2024,PO341,GRN441,0
INV68,SUP117,BUY57,LEN10,15FKUHQ5492JYZO,78321,17-04-2024,PO68,GRN197,0
INV69,SUP75,BUY30,LEN17,22BQEFJ2961AQZZ,33275,17-01-2024,PO291,GRN91,0
INV70,SUP62,BUY57,LEN14,24OUFXD2609UHZO,96755,19-10-2024,PO184,GRN414,0
INV71,SUP181,BUY28,LEN18,01BEZGP4372MTZW,79457,25-05-2024,PO269,GRN410,0
INV72,SUP34,BUY70,LEN1,29CYYWZ5402ZTZZ,43545,14-11-2024,PO331,GRN386,0
INV73,SUP176,BUY14,LEN20,32TIWAK3650UXZP,51982,25-02-2024,PO105,GRN390,0
INV74,SUP159,BUY95,LEN12,22BQEFJ2961AQZZ,75197,23-07-2024,PO345,GRN184,1
INV75,SUP169,BUY70,LEN5,26BBZOC4868TJZH,96338,19-06-2024,PO462,GRN221,0
INV76,SUP167,BUY19,LEN19,32JPLLH3331MRZN,88812,26-05-2024,PO348,GRN39,0
INV77,SUP151,BUY91,LEN10,37MLFBV8034BIZK,63853,24-02-2024,PO408,GRN459,0
INV78,SUP12,BUY99,LEN19,22VEMES2030FSZS,28578,20-12-2024,PO445,GRN487,0
INV79,SUP112,BUY78,LEN12,14VLHTP0277MWZD,78513,22-06-2024,PO460,GRN400,0
INV80,SUP28,BUY61,LEN1,26CHZWY2941UJZE,29927,19-02-2024,PO472,GRN485,0
INV81,SUP34,BUY55,LEN17,11CXUIG1080FEZT,91818,18-02-2024,PO478,GRN484,0
INV82,SUP197,BUY19,LEN4,33TENYM2004RIZM,13346,09-05-2024,PO83,GRN125,1
INV83,SUP144,BUY78,LEN18,19JXXXF1742YRZM,27439,22-03-2024,PO464,GRN370,0
INV84,SUP137,BUY67,LEN10,16COYQE7946VCZQ,53838,23-03-2024,PO121,GRN268,1
INV85,SUP173,BUY35,LEN2,36OEHPY7143ZYZG,97508,23-06-2024,PO147,GRN151,0
INV86,SUP56,BUY90,LEN6,21VMYHR8740PDZX,79674,09-10-2024,PO260,GRN103,0
INV87,SUP85,BUY16,LEN14,26JURAT5258TLZU,83642,06-08-2024,PO392,GRN187,0
INV88,SUP86,BUY85,LEN23,35YMDFF3330ZWZC,7448,05-01-2024,PO17,GRN440,1
INV89,SUP22,BUY40,LEN8,12VYEKS0027QOZL,279018,11-09-2024,PO449,GRN472,1
INV90,SUP93,BUY56,LEN5,15UMMYJ8366NYZR,98442,03-08-2024,PO327,GRN111,0
INV91,SUP182,BUY20,LEN19,35AZENC5386OMZF,55720,18-04-2024,PO476,GRN96,0
INV92,SUP87,BUY65,LEN5,14JKQHG2427PGZA,13044,20-09-2024,PO161,GRN329,0
INV93,SUP24,BUY18,LEN7,04YPUIR6316RTZY,88041,16-03-2024,PO246,GRN483,0
INV94,SUP158,BUY58,LEN26,35MDMPF5774SMZS,10316,15-02-2024,PO396,GRN364,1
INV95,SUP55,BUY82,LEN11,21FAHGJ8298NSZO,78003,13-03-2024,PO145,GRN45,0
INV96,SUP55,BUY60,LEN1,21GCPZD6511QWZX,89897,22-04-2024,PO43,GRN280,0
INV97,SUP118,BUY3,LEN15,34NZUAF6840SMZW,20301,21-04-2024,PO430,GRN101,1
INV98,SUP196,BUY96,LEN5,03YCBVN6166QWZV,18220,14-11-2024,PO383,GRN151,0
INV99,SUP14,BUY4,LEN2,14RALPH7143YWZS,24894,09-09-2024,PO395,GRN25,0
INV100,SUP81,BUY91,LEN11,21FWOQY2880SRZF,41866,25-10-2024,PO145,GRN224,0
INV101,SUP181,BUY4,LEN22,25PHWNB7477MMZG,27810,07-08-2024,PO419,GRN194,1
INV102,SUP134,BUY39,LEN8,26NXNTS7294QQZI,25618,23-03-2024,PO335,GRN262,1
INV103,SUP188,BUY91,LEN30,25WGWYQ2794ZFZR,32585,07-02-2024,PO401,GRN294,1
INV104,SUP194,BUY41,LEN18,29EFSVV2550UYZR,7931,20-10-2024,PO438,GRN430,0
INV105,SUP54,BUY6,LEN19,37RBGPL3521XBZS,85400,25-02-2024,PO170,GRN258,0
INV106,SUP128,BUY99,LEN10,37ZKQJE3317YKZZ,53635,01-07-2024,PO342,GRN236,0
INV107,SUP49,BUY98,LEN14,09DZDAW5518ACZI,98975,19-04-2024,PO337,GRN444,0
INV108,SUP157,BUY88,LEN6,22POBRM5540NKZO,34702,28-02-2024,PO491,GRN26,1
INV109,SUP8,BUY94,LEN17,22QEHQT5633OOZG,91351,23-12-2024,PO109,GRN55,0
INV110,SUP114,BUY6,LEN27,11KMKRW5822UOZT,45752,27-03-2024,PO221,GRN115,1
INV111,SUP179,BUY71,LEN14,25GUNEB1758SZZI,89882,20-08-2024,PO213,GRN121,0
INV112,SUP17,BUY40,LEN5,15DHDEQ7114QSZV,39946,26-11-2024,PO344,GRN71,1
INV113,SUP158,BUY51,LEN11,01UGNTK3881YEZZ,33068,18-09-2024,PO189,GRN322,0
INV114,SUP131,BUY64,LEN3,09HXEVH1524JXZR,15250,02-03-2024,PO52,GRN74,0
INV115,SUP45,BUY71,LEN19,30PNRBV1835WCZR,18655,27-12-2024,PO163,GRN184,0
INV116,SUP193,BUY43,LEN7,22KHWDZ6292VPZW,33573,12-10-2024,PO12,GRN434,1
INV117,SUP36,BUY3,LEN7,22BQEFJ2961AQZZ,63705,20-02-2024,PO257,GRN328,1
INV118,SUP33,BUY46,LEN11,27LTSCO9944WGZU,63291,15-12-2024,PO190,GRN245,0
INV119,SUP99,BUY49,LEN13,05KCFNU0628YFZF,8498,22-03-2024,PO256,GRN77,0
INV120,SUP115,BUY26,LEN12,14EZLHQ9962MMZH,26415,14-01-2024,PO233,GRN134,0
INV121,SUP118,BUY94,LEN6,08SROXG0312XGZC,54455,28-04-2024,PO432,GRN221,0
INV122,SUP7,BUY25,LEN4,01UGNTK3881YEZZ,80867,08-03-2024,PO460,GRN125,1
INV123,SUP81,BUY36,LEN15,29HOYMO1669VMZZ,92576,16-04-2024,PO364,GRN180,0
INV124,SUP83,BUY48,LEN7,14KLGUS5827KRZP,51040,26-05-2024,PO13,GRN325,0
INV125,SUP13,BUY68,LEN2,20JPJLA1776ISZU,10694,28-10-2024,PO233,GRN57,0
INV126,SUP19,BUY74,LEN12,08NFGXM1378HYZF,338569,28-11-2024,PO429,GRN41,1
INV127,SUP171,BUY39,LEN18,02LQCZX3779MAZJ,89582,09-06-2024,PO299,GRN404,0
INV128,SUP18,BUY36,LEN7,23DHGKZ8840HTZU,88939,23-01-2024,PO268,GRN480,0
INV129,SUP140,BUY65,LEN6,21VJTHA8107BJZE,61902,26-12-2024,PO114,GRN403,0
INV130,SUP153,BUY44,LEN8,16XRXBO0533YKZV,13288,01-07-2024,PO383,GRN47,0
INV131,SUP142,BUY27,LEN13,36GZLMG2602LBZL,294420,08-12-2024,PO439,GRN310,1
INV132,SUP72,BUY51,LEN16,01BEZGP4372MTZW,74951,04-01-2024,PO486,GRN461,1
INV133,SUP192,BUY43,LEN22,11VIERW8326OBZN,78315,25-04-2024,PO140,GRN468,1
INV134,SUP123,BUY24,LEN7,01FWBPS3984YPZK,19418,11-09-2024,PO1,GRN331,0
INV135,SUP37,BUY39,LEN11,12NFBWB8097PRZV,34849,04-11-2024,PO46,GRN483,0
INV136,SUP165,BUY97,LEN1,19MTAAZ6177FJZY,63903,19-08-2024,PO31,GRN432,0
INV137,SUP1,BUY88,LEN6,12ECDYP5853CZZD,39930,26-03-2024,PO255,GRN463,0
INV138,SUP67,BUY27,LEN6,04BCTKI6716IEZO,55493,15-09-2024,PO452,GRN276,0
INV139,SUP74,BUY71,LEN14,16LFOBQ6933YCZY,32262,17-10-2024,PO245,GRN102,0
INV140,SUP58,BUY54,LEN19,34NAZFA0901ACZQ,86695,18-07-2024,PO164,GRN86,0
INV141,SUP130,BUY2,LEN11,25VCRDR0893RKZX,79083,20-07-2024,PO24,GRN472,0
INV142,SUP175,BUY26,LEN11,16PBBEB0711QBZQ,46568,23-06-2024,PO465,GRN270,0
INV143,SUP176,BUY9,LEN7,09HXEVH1524JXZR,85610,06-12-2024,PO308,GRN390,1
INV144,SUP172,BUY33,LEN19,07SDIGA8096DRZM,78602,04-04-2024,PO5,GRN161,0
INV145,SUP82,BUY94,LEN11,26ULBIM8810HNZJ,59978,17-05-2024,PO56,GRN207,0
INV146,SUP120,BUY74,LEN13,20VLTWK5150CVZD,32845,19-09-2024,PO191,GRN193,0
INV147,SUP5,BUY83,LEN20,16ULHJJ7333JDZD,95583,05-01-2024,PO309,GRN71,1
INV148,SUP100,BUY24,LEN5,04SDMNM1323KNZV,455720,06-03-2024,PO222,GRN497,1
INV149,SUP115,BUY71,LEN8,12CVSNL8451EXZC,69019,15-12-2024,PO343,GRN283,0
INV150,SUP132,BUY50,LEN2,02FURZT6337SOZL,56222,02-02-2024,PO80,GRN330,0
INV151,SUP21,BUY33,LEN18,31DPKGM3141USZZ,22450,22-12-2024,PO120,GRN491,1
INV152,SUP190,BUY36,LEN3,08FPTQT7177CYZR,28443,05-11-2024,PO164,GRN50,0
INV153,SUP97,BUY88,LEN12,17AEEEB4945WJZB,457945,11-01-2024,PO147,GRN445,1
INV154,SUP110,BUY19,LEN5,04KLSSF7764STZG,70575,22-12-2024,PO149,GRN115,0
INV155,SUP127,BUY41,LEN19,20RDZVZ7146KSZP,341858,14-06-2024,PO485,GRN121,1
INV156,SUP96,BUY54,LEN26,29JCSLU2619JAZF,95822,11-04-2024,PO122,GRN175,1
INV157,SUP76,BUY67,LEN30,13CWOAP9936UWZF,16788,17-01-2024,PO183,GRN120,1
INV158,SUP77,BUY19,LEN12,05XLDJO1533AMZS,88735,24-09-2024,PO374,GRN97,0
INV159,SUP136,BUY53,LEN14,04KGWYZ6844PTZO,35059,16-05-2024,PO418,GRN75,0
INV160,SUP175,BUY48,LEN15,03JCUJN2230ROZC,73138,03-09-2024,PO143,GRN404,0
INV161,SUP123,BUY98,LEN9,36MANEV3543DRZZ,48591,06-10-2024,PO412,GRN107,0
INV162,SUP185,BUY84,LEN13,02JCMIF6620AIZI,94738,01-10-2024,PO106,GRN440,0
INV163,SUP45,BUY88,LEN19,06XDKFO7562HWZM,25811,10-03-2024,PO310,GRN429,0
INV164,SUP64,BUY28,LEN19,13IUWNI5024LJZW,73011,18-09-2024,PO487,GRN79,0
INV165,SUP188,BUY4,LEN6,12EIPMD6050MZZJ,34971,20-05-2024,PO183,GRN38,0
INV166,SUP109,BUY27,LEN8,18STYEC2695HDZI,31422,28-03-2024,PO154,GRN205,0
INV167,SUP80,BUY30,LEN5,32QTLJX2131PLZN,21724,05-03-2024,PO405,GRN280,0
INV168,SUP79,BUY90,LEN4,34TMPIH2244EPZT,370395,07-04-2024,PO12,GRN271,1
INV169,SUP173,BUY36,LEN13,30DUXVB1127LNZM,11806,18-08-2024,PO408,GRN230,0
INV170,SUP26,BUY89,LEN18,34QERYY8565AGZA,54145,28-03-2024,PO228,GRN457,0
INV171,SUP74,BUY95,LEN13,17KHHQG5667FOZH,57189,06-10-2024,PO152,GRN400,0
INV172,SUP122,BUY56,LEN19,01WMEMI6843OEZY,1844,28-06-2024,PO166,GRN462,0
INV173,SUP19,BUY52,LEN14,16LGHYD8535BUZY,38721,05-12-2024,PO319,GRN210,0
INV174,SUP188,BUY35,LEN8,37AOPCR8662TAZV,13954,15-03-2024,PO261,GRN445,0
INV175,SUP111,BUY79,LEN15,22VEMES2030FSZS,49534,15-01-2024,PO355,GRN270,1
INV176,SUP188,BUY4,LEN19,24BSBEP3800UCZL,77212,28-02-2024,PO217,GRN95,0
INV177,SUP104,BUY87,LEN4,26BOWKM4379KXZI,31603,27-03-2024,PO399,GRN192,0
INV178,SUP122,BUY77,LEN18,16JEQWR2417UTZX,395481,15-02-2024,PO452,GRN166,1
INV179,SUP186,BUY9,LEN29,14CWNRL9367MOZO,14741,06-12-2024,PO207,GRN243,1
INV180,SUP19,BUY83,LEN15,20ZPWWF2715UUZY,70683,20-03-2024,PO98,GRN323,0
INV181,SUP172,BUY98,LEN18,20SVSUT4153HQZS,16892,14-04-2024,PO152,GRN106,0
INV182,SUP123,BUY22,LEN20,25YOEOJ7216BHZH,71055,02-08-2024,PO142,GRN232,0
INV183,SUP144,BUY54,LEN12,23TYBQV2510LBZC,52904,15-10-2024,PO149,GRN433,0
INV184,SUP168,BUY19,LEN19,02VUJYF3145OKZA,270890,11-11-2024,PO91,GRN241,1
INV185,SUP73,BUY1,LEN8,03HPXRC9535RNZN,46046,05-06-2024,PO105,GRN368,0
INV186,SUP4,BUY62,LEN1,26MNSAL7062TZZL,67221,03-06-2024,PO492,GRN326,0
INV187,SUP118,BUY42,LEN6,30CJDZF7806ENZC,52502,05-11-2024,PO120,GRN302,0
INV188,SUP62,BUY68,LEN21,20CXEZA3745TVZT,78905,05-10-2024,PO262,GRN282,1
INV189,SUP144,BUY26,LEN18,12VXYMY3317PWZZ,6176,02-05-2024,PO195,GRN72,0
INV190,SUP117,BUY79,LEN16,30XSVGC9299HJZI,14175,17-01-2024,PO427,GRN309,0
INV191,SUP151,BUY73,LEN9,22AOKEE7489BQZY,59664,05-08-2024,PO257,GRN214,0
INV192,SUP92,BUY89,LEN6,25DXJNG5272FHZR,74229,15-11-2024,PO46,GRN324,0
INV193,SUP162,BUY38,LEN15,16UXSLH4009VNZK,88959,13-12-2024,PO318,GRN28,0
INV194,SUP114,BUY87,LEN28,24ESIOX4734UXZZ,54719,09-08-2024,PO55,GRN24,1
INV195,SUP194,BUY61,LEN15,34FLRZE7518BAZI,26276,14-06-2024,PO373,GRN323,0
INV196,SUP18,BUY93,LEN23,31HALIW6155MGZC,18475,22-12-2024,PO27,GRN243,1
INV197,SUP36,BUY71,LEN13,20QIPLB0505WNZK,14799,11-12-2024,PO190,GRN423,0
INV198,SUP127,BUY42,LEN6,29GTXSA4406HFZM,63652,08-01-2024,PO382,GRN455,0
INV199,SUP172,BUY96,LEN3,07HQRDS3320QDZG,35864,07-12-2024,PO15,GRN399,0
INV200,SUP8,BUY59,LEN20,36RGLDP7664PRZU,40897,28-11-2024,PO455,GRN181,0
INV201,SUP196,BUY31,LEN4,32FPPGI4505MQZE,11371,11-12-2024,PO324,GRN337,0
INV202,SUP122,BUY78,LEN5,01RVXRI7893EOZT,36786,18-06-2024,PO31,GRN256,1
INV203,SUP47,BUY31,LEN12,13DMZWE9286EVZZ,274161,16-06-2024,PO17,GRN484,1
INV204,SUP90,BUY41,LEN14,24QABFF4422XWZM,61793,28-04-2024,PO286,GRN168,0
INV205,SUP21,BUY3,LEN16,13VGJMX0699RBZM,50091,26-07-2024,PO250,GRN461,0
INV206,SUP145,BUY66,LEN11,36KOILQ2829XHZX,42159,06-07-2024,PO483,GRN490,0
INV207,SUP175,BUY100,LEN9,33KSQGF8316WNZT,28267,08-10-2024,PO142,GRN58,0
INV208,SUP199,BUY61,LEN19,08BNXVT1199JCZR,38601,24-11-2024,PO351,GRN201,0
INV209,SUP78,BUY79,LEN1,07PJHSX3943XOZE,88737,05-09-2024,PO174,GRN444,0
INV210,SUP63,BUY41,LEN16,16XRXBO0533YKZV,39944,13-10-2024,PO328,GRN161,1
INV211,SUP187,BUY72,LEN14,20YNUAE9077OOZG,2292,09-02-2024,PO443,GRN172,0
INV212,SUP60,BUY100,LEN8,32MMYGJ9961RHZQ,414943,17-10-2024,PO237,GRN237,1
INV213,SUP159,BUY32,LEN8,17KHHQG5667FOZH,38836,04-05-2024,PO272,GRN305,1
INV214,SUP63,BUY97,LEN5,06YUVDJ4295AUZG,48087,19-01-2024,PO135,GRN27,0
INV215,SUP79,BUY37,LEN12,26RDERY5162BIZH,63545,15-10-2024,PO186,GRN261,0
INV216,SUP154,BUY28,LEN13,14QHPKK5832EPZQ,36693,18-12-2024,PO276,GRN32,0
INV217,SUP58,BUY66,LEN8,24DOBWU5837YUZC,73224,23-03-2024,PO6,GRN436,0
INV218,SUP158,BUY75,LEN9,08SGPMV5070LFZK,23463,15-04-2024,PO4,GRN113,0
INV219,SUP179,BUY74,LEN15,24XGYFA3253DGZM,81331,26-07-2024,PO183,GRN279,0
INV220,SUP199,BUY62,LEN11,06HOGZS1224OTZJ,9498,11-04-2024,PO37,GRN292,0
INV221,SUP51,BUY87,LEN20,06AZSKC5326YQZB,19843,23-07-2024,PO27,GRN70,0
INV222,SUP75,BUY54,LEN22,06OCIYW6878PFZJ,49804,04-06-2024,PO357,GRN411,1
INV223,SUP55,BUY68,LEN14,11WCUJB9265BDZC,37988,07-03-2024,PO81,GRN493,0
INV224,SUP81,BUY62,LEN13,24MQPMT1426OBZJ,6359,18-02-2024,PO452,GRN461,0
INV225,SUP94,BUY64,LEN9,02XIKQY9278ZXZM,90314,25-11-2024,PO71,GRN256,0
INV226,SUP41,BUY61,LEN18,16TBCZA3867XEZK,3404,12-12-2024,PO329,GRN117,0
INV227,SUP108,BUY86,LEN7,21CVCOA9210RCZP,83714,28-01-2024,PO428,GRN117,0
INV228,SUP44,BUY76,LEN13,25ZJBPV7305ZEZL,43057,01-12-2024,PO388,GRN277,0
INV229,SUP79,BUY53,LEN14,32FPPGI4505MQZE,84874,21-01-2024,PO193,GRN128,1
INV230,SUP112,BUY78,LEN18,20FZLAB0914NWZC,221198,10-05-2024,PO351,GRN373,1
INV231,SUP167,BUY36,LEN14,09KMNHQ7291TIZB,32745,16-02-2024,PO362,GRN141,0
INV232,SUP122,BUY41,LEN17,21ADOUH7359VHZH,55163,08-01-2024,PO259,GRN87,0
INV233,SUP102,BUY57,LEN3,25URTEC8269VJZJ,22206,15-05-2024,PO185,GRN491,0
INV234,SUP130,BUY17,LEN12,15TJQOY9279TYZB,59836,03-04-2024,PO57,GRN62,1
INV235,SUP67,BUY43,LEN22,11BYFEV7554HCZF,71885,05-09-2024,PO303,GRN159,1
INV236,SUP10,BUY47,LEN1,16OOOBJ5283DXZC,84925,26-02-2024,PO227,GRN307,0
INV237,SUP47,BUY35,LEN16,12SQCDA5513ACZN,266055,09-12-2024,PO495,GRN285,1
INV238,SUP3,BUY83,LEN11,22IKYLR9410OOZY,330602,24-05-2024,PO228,GRN159,1
INV239,SUP108,BUY48,LEN15,21XFIHG2465VUZG,48864,17-04-2024,PO79,GRN424,0
INV240,SUP49,BUY59,LEN6,34EYLCD1119DKZT,45225,20-07-2024,PO468,GRN143,0
INV241,SUP109,BUY41,LEN9,23SPAIU4752ZCZC,389617,28-02-2024,PO85,GRN379,1
INV242,SUP4,BUY75,LEN7,25AAIOP8998QMZL,80505,11-04-2024,PO68,GRN328,0
INV243,SUP1,BUY44,LEN7,17FAPQT2837XEZY,43258,07-09-2024,PO455,GRN353,0
INV244,SUP198,BUY30,LEN8,20RDZVZ7146KSZP,12613,20-01-2024,PO441,GRN488,1
INV245,SUP21,BUY20,LEN26,03WZKBW0621JTZH,4677,20-09-2024,PO470,GRN269,1
INV246,SUP63,BUY49,LEN11,34ZFHZG9725ZHZH,1719,28-10-2024,PO382,GRN269,0
INV247,SUP144,BUY13,LEN6,13MMMSN1596VGZQ,50194,25-06-2024,PO342,GRN31,1
INV248,SUP40,BUY27,LEN18,04CWPFZ2293ZDZQ,82166,05-03-2024,PO175,GRN399,0
INV249,SUP74,BUY55,LEN19,16SPAGK1826ESZL,70439,23-04-2024,PO293,GRN414,0
INV250,SUP15,BUY1,LEN6,15FKKPC2766GUZU,13022,05-07-2024,PO427,GRN361,0
INV251,SUP78,BUY58,LEN6,21ZUSRT1272PMZG,457981,08-03-2024,PO177,GRN149,1
INV252,SUP182,BUY41,LEN10,18KRXDS5334XPZA,74408,21-09-2024,PO300,GRN344,0
INV253,SUP148,BUY10,LEN6,13MTGPR3710MNZG,76255,07-02-2024,PO13,GRN429,0
INV254,SUP65,BUY70,LEN12,36CLBMH0446GCZB,3722,17-12-2024,PO219,GRN289,0
INV255,SUP191,BUY24,LEN3,05XVXTU6149OGZP,17275,07-10-2024,PO318,GRN439,0
INV256,SUP74,BUY41,LEN17,36PFLEZ9843UBZC,77889,18-05-2024,PO250,GRN455,0
INV257,SUP168,BUY100,LEN24,06XQCPF7088QFZX,30863,04-11-2024,PO63,GRN194,1
INV258,SUP118,BUY51,LEN1,16OOOBJ5283DXZC,51797,14-11-2024,PO167,GRN334,1
INV259,SUP147,BUY5,LEN19,06FYXGB3304CMZC,78657,21-04-2024,PO77,GRN253,0
INV260,SUP15,BUY68,LEN5,15LFBWW4473VLZS,84249,11-09-2024,PO361,GRN192,0
INV261,SUP59,BUY82,LEN2,28UYKHG9510OGZH,28952,12-12-2024,PO336,GRN219,0
